_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
390,2023,M4C,DOG,BEARDED COLLIE
391,2023,M5V,CAT,DOMESTIC SH
392,2024,M6M,DOG,GERM SHEPHERD
393,2024,M8X,CAT,DOMESTIC SH
394,2023,M6R,DOG,BEAGLE
395,2023,M4B,CAT,DOMESTIC SH
396,2024,M9B,CAT,DOMESTIC SH
397,2023,M1H,CAT,DOMESTIC SH
398,2023,M1N,CAT,DOMESTIC SH
399,2023,M4N,DOG,YORKSHIRE TERR
400,2024,M6G,CAT,DOMESTIC MH
401,2024,M1J,CAT,DOMESTIC SH
402,2023,M4M,CAT,DOMESTIC SH
403,2023,M9V,DOG,SHIH TZU
404,2024,M4M,CAT,DOMESTIC SH
405,2024,M4S,CAT,DOMESTIC SH
406,2025,M6A,CAT,DOMESTIC SH
407,2023,M4S,DOG,POODLE MIN
408,2024,M3H,CAT,DOMESTIC SH
409,2023,M3H,CAT,DOMESTIC SH
410,2023,M1W,DOG,SHIH TZU
411,2024,M3A,CAT,DOMESTIC SH
412,2023,M9P,DOG,COTON DE TULEAR
413,2026,M9C,CAT,DOMESTIC SH
414,2023,M6B,CAT,DOMESTIC SH
415,2023,M5M,DOG,SHIH TZU
416,2024,M6J,CAT,DOMESTIC SH
417,2023,M9C,CAT,DOMESTIC SH
418,2024,M1J,CAT,DOMESTIC SH
419,2023,M1H,CAT,DOMESTIC MH
420,2024,M8V,CAT,DOMESTIC SH
421,2024,M8V,CAT,DOMESTIC SH
422,2023,M4P,DOG,POODLE TOY
423,2023,M6E,DOG,SHIH TZU
424,2025,M6K,CAT,DOMESTIC SH
425,2024,M4J,CAT,DOMESTIC SH
426,2024,M9P,CAT,DOMESTIC SH
427,2023,M1E,CAT,DOMESTIC SH
428,2023,M9M,DOG,SHIH TZU
429,2023,M1W,CAT,DOMESTIC SH
430,2024,M4L,DOG,POODLE MIN
431,2023,M9A,CAT,DOMESTIC SH
432,2025,M6C,CAT,DOMESTIC SH
433,2025,M1K,CAT,DOMESTIC SH
434,2025,M8X,CAT,DOMESTIC SH
435,2024,M4J,CAT,DOMESTIC MH
436,2023,M8X,DOG,SC WHEAT TERR
437,2023,M5A,DOG,GOLDEN RETR
438,2024,M4W,DOG,DACHSHUND
439,2024,M4W,DOG,DACHSHUND
440,2024,M8W,DOG,COCKER SPAN
441,2024,M2J,CAT,DOMESTIC SH
442,2024,M8Y,DOG,YORKSHIRE TERR
443,2025,M8W,DOG,AFFENPINSCHER
444,2023,M8W,DOG,AFFENPINSCHER
445,2025,M8W,DOG,AFFENPINSCHER
446,2023,M3B,CAT,DOMESTIC MH
447,2023,M8Z,DOG,GOLDEN RETR
448,2023,M4M,DOG,ENG COCKER SPAN
449,2023,M1C,DOG,WEST HIGHLAND
450,2023,M8Z,CAT,DOMESTIC SH
451,2023,M4S,CAT,DOMESTIC LH
452,2024,M5N,CAT,DOMESTIC SH
453,2023,M9M,DOG,SHIH TZU
454,2023,M9M,DOG,SHIH TZU
455,2025,M9W,DOG,YORKSHIRE TERR
456,2023,M9R,DOG,COCKER SPAN
457,2023,M6K,CAT,SIAMESE
458,2024,M4S,CAT,DOMESTIC SH
459,2023,M6R,DOG,SIBERIAN HUSKY
460,2025,M1K,CAT,SIAMESE
461,2023,M4J,CAT,DOMESTIC SH
462,2023,M4V,CAT,DOMESTIC SH
463,2025,M9P,DOG,MALTESE
464,2025,M4V,CAT,DOMESTIC MH
465,2023,M6K,DOG,YORKSHIRE TERR
466,2023,M4V,DOG,CHIHUAHUA SH
467,2023,M1P,CAT,DOMESTIC LH
468,2023,M6G,CAT,SIAMESE
469,2023,M1N,CAT,DOMESTIC LH
470,2023,M2L,DOG,LHASA APSO
471,2023,M5M,CAT,DOMESTIC SH
472,2024,M4C,CAT,DOMESTIC SH
473,2023,M1L,CAT,DOMESTIC SH
474,2023,M6S,DOG,YORKSHIRE TERR
475,2024,M9A,DOG,SCOT TERRIER
476,2023,M6L,DOG,AMER ESKIMO
477,2025,M3A,CAT,DOMESTIC LH
478,2025,M4K,CAT,DOMESTIC SH
479,2024,M1S,CAT,DOMESTIC SH
480,2024,M1S,CAT,DOMESTIC SH
481,2023,M3H,DOG,HAVANESE
482,2023,M4A,DOG,PUG
483,2024,M6C,CAT,DOMESTIC SH
484,2023,M5P,DOG,WEST HIGHLAND
485,2023,M4C,CAT,DOMESTIC SH
486,2025,M4C,CAT,DOMESTIC SH
487,2023,M4T,DOG,HAVANESE
488,2024,M1T,CAT,DOMESTIC MH
489,2024,M8V,CAT,DOMESTIC SH
490,2024,M1L,CAT,DOMESTIC SH
491,2023,M4L,CAT,DOMESTIC SH
492,2023,M4J,CAT,DOMESTIC SH
493,2023,M3L,DOG,SHIH TZU
494,2023,M6S,CAT,DOMESTIC SH
495,2023,M1P,CAT,DOMESTIC SH
496,2023,M8V,CAT,DOMESTIC SH
497,2023,M4N,DOG,COTON DE TULEAR
498,2025,M4C,CAT,DOMESTIC SH
499,2023,M9A,DOG,SHIH TZU
500,2023,M4X,CAT,DOMESTIC SH
501,2023,M9B,CAT,DOMESTIC SH
502,2023,M9A,CAT,DOMESTIC MH
503,2023,M2J,DOG,BASSET HOUND
504,2023,M4L,DOG,LABRADOR RETR
505,2023,M5R,CAT,DOMESTIC SH
506,2023,M2R,CAT,DOMESTIC SH
507,2023,M1N,DOG,SHIH TZU
508,2023,M9C,CAT,DOMESTIC LH
509,2023,M6N,CAT,DOMESTIC SH
510,2023,M3C,DOG,PUG
511,2024,M1R,CAT,BURMESE
512,2024,M1W,CAT,DOMESTIC MH
513,2024,M2H,DOG,PARSON RUSS TER
514,2023,M4K,DOG,POODLE MIN
515,2023,M4K,CAT,DOMESTIC SH
516,2023,M6M,DOG,PARSON RUSS TER
517,2023,M6J,CAT,DOMESTIC MH
518,2024,M6C,CAT,DOMESTIC SH
519,2023,M1W,DOG,MALTESE
520,2023,M8Y,DOG,TOY POODLE
521,2024,M4C,CAT,DOMESTIC SH
522,2024,M4C,CAT,DOMESTIC SH
523,2025,M5V,DOG,GOLDEN RETR
524,2023,M6S,DOG,GOLDEN RETR
525,2025,M1E,CAT,DOMESTIC SH
526,2023,M1E,CAT,DOMESTIC SH
527,2024,M4C,CAT,DOMESTIC MH
528,2023,M9A,CAT,DOMESTIC SH
529,2023,M9A,CAT,DOMESTIC MH
530,2024,M9A,CAT,DOMESTIC LH
531,2023,M6J,CAT,DOMESTIC SH
532,2025,M1C,CAT,DOMESTIC SH
533,2023,M4P,DOG,HAVANESE
534,2023,M4S,DOG,PARSON RUSS TER
535,2023,M6E,DOG,COCKER SPAN
536,2023,M1X,CAT,DOMESTIC SH
537,2024,M1X,CAT,DOMESTIC SH
538,2023,M1X,CAT,DOMESTIC SH
539,2023,M1X,CAT,DOMESTIC SH
540,2023,M6G,CAT,DOMESTIC SH
541,2025,M6G,CAT,DOMESTIC SH
542,2023,M6A,CAT,DOMESTIC SH
543,2023,M1W,CAT,DOMESTIC SH
544,2024,M4S,CAT,DOMESTIC LH
545,2023,M4S,CAT,DOMESTIC SH
546,2023,M4K,CAT,DOMESTIC SH
547,2023,M1W,DOG,COTON DE TULEAR
548,2023,M3A,CAT,DOMESTIC LH
549,2023,M5B,CAT,DOMESTIC SH
550,2023,M6N,DOG,SHIH TZU
551,2023,M4C,CAT,DOMESTIC SH
552,2025,M6S,CAT,DOMESTIC SH
553,2025,M9R,CAT,DOMESTIC SH
554,2023,M3B,CAT,DOMESTIC SH
555,2023,M4L,CAT,DOMESTIC SH
556,2023,M4T,DOG,POODLE MIN
557,2024,M4M,DOG,POMERANIAN
558,2023,M2N,CAT,DOMESTIC LH
559,2023,M1C,CAT,DOMESTIC SH
560,2024,M1V,DOG,CHIHUAHUA SH
561,2025,M6N,DOG,MIN PINSCHER
562,2023,M1V,DOG,PARSON RUSS TER
563,2023,M5N,CAT,DOMESTIC MH
564,2023,M4J,CAT,DOMESTIC SH
565,2023,M1E,DOG,POODLE MIN
566,2023,M9B,CAT,DOMESTIC MH
567,2025,M4G,CAT,DOMESTIC SH
568,2023,M4A,CAT,DOMESTIC SH
569,2023,M4A,CAT,DOMESTIC SH
570,2023,M1H,DOG,YORKSHIRE TERR
571,2023,M9W,DOG,SHIH TZU
572,2023,M1B,DOG,POODLE MIN
573,2023,M4L,CAT,DOMESTIC SH
574,2023,M9C,DOG,SHIH TZU
575,2023,M5A,CAT,DOMESTIC SH
576,2023,M1V,DOG,MALTESE
577,2023,M4L,CAT,SIAMESE
578,2023,M9W,DOG,DACHSHUND
579,2023,M1E,CAT,DOMESTIC SH
580,2024,M9C,CAT,DOMESTIC SH
581,2023,M9C,CAT,DOMESTIC SH
582,2024,M1E,CAT,DOMESTIC SH
583,2023,M9A,DOG,SHIH TZU
584,2025,M3A,CAT,DOMESTIC SH
585,2025,M1S,DOG,SHIH TZU
586,2023,M4G,CAT,DOMESTIC SH
587,2023,M5M,DOG,YORKSHIRE TERR
588,2023,M1W,DOG,SHIH TZU
589,2023,M6M,CAT,DOMESTIC SH
590,2023,M1J,CAT,DOMESTIC LH
591,2023,M1H,CAT,DOMESTIC SH
592,2023,M1K,CAT,DOMESTIC MH
593,2023,M8W,DOG,SHIH TZU
594,2024,M1J,CAT,DOMESTIC MH
595,2024,M3C,DOG,POODLE TOY
596,2023,M6E,CAT,DOMESTIC MH
597,2024,M6K,CAT,DOMESTIC SH
598,2023,M8V,DOG,DACHSHUND
599,2023,M9N,DOG,AUST SHEPHERD
600,2024,M3C,DOG,SHIH TZU
601,2023,M1K,CAT,DOMESTIC SH
602,2023,M9C,CAT,DOMESTIC SH
603,2023,M2P,DOG,PARSON RUSS TER
604,2023,M1E,CAT,DOMESTIC SH
605,2023,M2K,DOG,BICHON FRISE
606,2023,M5M,DOG,SHIH TZU
607,2024,M9P,CAT,DOMESTIC MH
608,2025,M1H,CAT,DOMESTIC LH
609,2023,M1J,CAT,DOMESTIC SH
610,2024,M1L,DOG,GERM SHEPHERD
